FID,Region,Country,Plant,NumReactor,Latitude,Longitude,p90_1200,p00_1200,p10_1200,p90u_1200,p00u_1200,p10u_1200,p90r_1200,p00r_1200,p10r_1200,p90_30,p00_30,p10_30,p90u_30,p00u_30,p10u_30,p90r_30,p00r_30,p10r_30,p90_75,p00_75,p10_75,p90u_75,p00u_75,p10u_75,p90r_75,p00r_75,p10r_75,p90_150,p00_150,p10_150,p90u_150,p00u_150,p10u_150,p90r_150,p00r_150,p10r_150,p90_600,p00_600,p10_600,p90u_600,p00u_600,p10u_600,p90r_600,p00r_600,p10r_600,p90_300,p00_300,p10_300,p90u_300,p00u_300,p10u_300,p90r_300,p00r_300,p10r_300
53,America - Northern,UNITED STATES OF AMERICA,COOPER,1,40.3619,-95.6411,102304000,113412000,125150000,80406200,89519600,98842300,21898100,23892700,26308100,16763.6,17263.5,18941.9,3.67295,3.78247,4.15022,16760,17259.7,18937.8,129561,135554,149032,37871.4,39332.9,43182.4,91689.3,96221.4,105850,1698430,1799730,1987940,1300570,1378610,1523820,397861,421118,464122,23481900,24917500,27489700,17579400,18664100,20605400,5902490,6253470,6884250,5829630,6163090,6802180,4411970,4666690,5154620,1417660,1496400,1647560
54,Europe - Western,FRANCE,CREYS-MALVILLE,1,45.758333,5.472222,394827000,408768000,427934000,277621000,287542000,301360000,117206000,121226000,126574000,290020,315344,334339,154448,167954,178072,135572,147390,156267,3820540,4046370,4291000,3113700,3288970,3488390,706840,757396,802608,7517460,7906330,8384640,5390840,5666060,6009330,2126620,2240270,2375310,133688000,138680000,145063000,96573600,100115000,104873000,37114800,38564700,40189500,32401300,33570700,35478900,23610700,24474700,25862300,8790670,9095920,9616670
55,Europe - Western,FRANCE,CRUAS,4,44.6314,4.75556,387352000,401958000,422982000,273867000,284102000,298894000,113485000,117856000,124087000,219207,232369,246286,143813,152369,161499,75394.2,80000.4,84787.6,1135680,1203550,1275600,661438,701871,743912,474242,501680,531684,7112390,7552730,8006540,5237550,5563330,5898010,1874840,1989400,2108540,101853000,105539000,111602000,72821800,75424800,79906600,29031300,30113800,31695800,21934900,22966600,24330700,15601100,16392800,17368900,6333880,6573780,6961830
56,America - Northern,UNITED STATES OF AMERICA,CRYSTAL RIVER,1,28.9572,-82.6989,75082600,86926800,95020000,54346100,63510400,69705700,20736500,23416400,25314300,68301.6,85574.4,94302,52001.5,65295.3,71978.3,16300.1,20279.1,22323.7,564734,704701,776100,411160,513482,565582,153574,191219,210518,4435000,5537500,6105520,4000260,4993760,5507020,434738,543742,598496,22223000,27799200,30677800,19467900,24419900,26955200,2755170,3379340,3722620,8208280,10462800,11532000,7377890,9406970,10370500,830382,1055800,1161520
57,America - Northern,UNITED STATES OF AMERICA,CVTR,1,34.2625,-81.329167,162786000,179174000,197757000,135370000,149210000,164750000,27415100,29963800,33006500,126400,148856,164388,93295.6,109870,121333,33104.7,38986.9,43054.9,767289,889941,981861,565453,655835,723546,201836,234106,258315,3996670,4725970,5215740,3027730,3584770,3956810,968941,1141190,1258930,35849900,42366000,46733700,25927300,30868000,34062900,9922650,11498000,12670700,13881800,16900000,18650000,10404700,12697800,14017000,3477060,4202250,4633050
58,Europe - Western,FRANCE,DAMPIERRE,4,47.7339,2.51611,349524000,359755000,375806000,252751000,260468000,272485000,96773400,99287900,103322000,112946,114252,121083,32197.3,32569.6,34516.9,80748.5,81682.3,86565.9,1092400,1121730,1189150,589531,608016,644643,502872,513719,544503,13708700,14050700,14895100,11901600,12205400,12939600,1807080,1845330,1955470,161503000,167782000,174969000,123237000,127867000,133351000,38266200,39915200,41617800,30513900,31249000,33122300,22139600,22683500,24044900,8374260,8565520,9077350
59,America - Northern,CANADA,DARLINGTON,4,43.869268,-78.722457,155466000,166863000,184163000,129240000,138746000,153197000,26225800,28116800,30965500,373749,406269,448561,285844,307818,340135,87904.6,98451.1,108425,3502330,4071790,4504350,3210760,3743100,4142070,291572,328692,362284,8614170,9687990,10698300,7815040,8803600,9723950,799123,884383,974368,85637300,89942900,99280300,74048000,77880300,86000800,11589300,12062600,13279500,14120900,15467300,17049700,11867900,13073200,14418700,2252990,2394120,2630990
60,America - Northern,UNITED STATES OF AMERICA,DAVIS BESSE,1,41.5972,-83.0864,175679000,190105000,209809000,143675000,155414000,171601000,32004000,34690500,38207300,88250,91130.9,100532,62314.4,64275.8,70903.6,25935.6,26855.1,29628.8,1591550,1659760,1833630,1387910,1449020,1601070,203642,210737,232557,9821020,10274400,11353600,8808880,9215720,10186200,1012140,1058730,1167350,71377000,76071800,83943100,58608700,62709500,69229100,12768200,13362300,14714000,25467300,26557600,29309000,21230900,22141000,24441600,4236430,4416580,4867360
61,America - Northern,UNITED STATES OF AMERICA,DIABLO CANYON,2,35.2117,-120.854,43395600,53325900,58872400,40780600,49955400,55164200,2614980,3370520,3708220,131515,142904,156854,130450,141746,155583,1064.98,1157.2,1270.16,397586,431342,473770,381278,413635,454332,16308.3,17707.2,19438.6,751135,819054,900599,703873,766930,843313,47261.8,52123.5,57286.7,32513000,38471600,42477900,31429700,37179200,41055500,1083350,1292420,1422470,15640300,17478200,19298600,15275700,17073600,18853700,364582,404592,444946
62,,NETHERLANDS,DODEWARRD,1,51.899722,5.686111,361533000,371563000,383905000,255566000,262977000,272460000,105966000,108586000,111445000,1289490,1387710,1452520,1002060,1076390,1126900,287435,311326,325622,7569980,8125800,8473750,5808250,6237350,6506410,1761730,1888450,1967340,31599100,33199600,34134700,27684400,29040300,29818900,3914770,4159290,4315770,184243000,190602000,196312000,141256000,146203000,150845000,42987800,44398400,45467500,60522100,63312900,64961000,48594100,50790200,52120600,11928000,12522600,12840400
63,Europe - Western,BELGIUM,DOEL,4,51.325278,4.259356,352780000,362758000,375746000,252432000,259775000,269683000,100347000,102983000,106063000,1414550,1468920,1542300,1254660,1303000,1368450,159887,165924,173857,8338230,8619660,9035590,7270160,7512880,7875300,1068070,1106770,1160280,25138900,26143300,27365500,21438800,22283900,23324200,3700130,3859420,4041240,180638000,187390000,193737000,138677000,143867000,148961000,41961100,43522800,44775500,62266800,64743400,67013900,50656200,52630900,54445500,11610600,12112600,12568300
64,America - Northern,UNITED STATES OF AMERICA,DONALD COOK,2,41.9761,-86.5664,170697000,184809000,203963000,138321000,149736000,165338000,32375400,35073000,38625700,128468,135451,149313,102173,107325,118300,26295,28126.2,31013.6,959452,1036770,1144060,782683,848614,936578,176769,188152,207486,10810600,12212000,13500700,10064600,11414100,12620600,745996,797875,880042,59518900,63301100,69865300,48672400,51964600,57381000,10846500,11336500,12484300,26510400,28692400,31690700,22953300,24968100,27587000,3557160,3724310,4103750
65,America - Northern,CANADA,DOUGLAS POINT,1,44.326667,-81.6,160602000,172794000,190702000,132420000,142501000,157341000,28182100,30293700,33361000,28339.9,30773.7,33689.1,22238.7,24148.5,26436.4,6101.17,6625.12,7252.78,145585,158994,174334,92013.6,100406,110069,53571.6,58587.8,64265.5,1277550,1411920,1553900,1017440,1125270,1238720,260112,286653,315183,53602200,57441900,63381800,44626800,48083300,53081300,8975400,9358560,10300400,16493100,18160000,20053200,14600700,16098800,17783900,1892480,2061210,2269240
66,Europe - Western,UNITED KINGDOM,DOUNREAY,2,58.57814,-3.75233,159702000,165615000,172960000,127008000,131759000,137563000,32693200,33855800,35396700,14049.7,14175.3,14851.7,8365.58,8435.13,8838.09,5684.11,5740.12,6013.61,51013.8,51468.9,53921.4,23034.4,23173.6,24285.3,27979.4,28295.3,29636.1,328583,329835,346025,187181,187559,196791,141402,142276,149234,21740200,22691100,24008400,18722600,19537300,20633300,3017550,3153780,3375100,2832190,2884250,3028910,2351530,2396920,2517660,480652,487325,511243
67,America - Northern,UNITED STATES OF AMERICA,DRESDEN,3,41.3897,-88.2711,153315000,167114000,184382000,121093000,132087000,145809000,32222100,35026200,38573100,306135,301812,333097,285684,281714,310917,20450.2,20097.9,22179.4,5615640,6105190,6753500,5488800,5976040,6611000,126840,129155,142495,10106000,11278300,12466400,9509800,10670800,11797300,596202,607513,669077,57497100,61339400,67708300,46896800,50199200,55441500,10600300,11140200,12266800,20846600,22674900,25039200,17954700,19676600,21736000,2891860,2998310,3303140
68,America - Northern,UNITED STATES OF AMERICA,DUANE ARNOLD,1,42.1006,-91.7772,118578000,130374000,143865000,93016500,102666000,113353000,25561600,27707700,30512500,202957,208659,230302,174202,179150,197745,28755.3,29508.9,32557.2,589289,607639,670628,429698,443099,489110,159591,164540,181518,1726100,1769080,1951240,1160080,1186630,1309110,566023,582453,642123,40053200,43136400,47605300,31900800,34554000,38158400,8152340,8582370,9446890,7846230,8018350,8836580,5594850,5702310,6286630,2251380,2316030,2549950
69,Europe - Central and Eastern,CZECH REPUBLIC,DUKOVANY,4,49.086876,16.13826,413858000,417332000,420817000,267230000,270671000,274659000,146628000,146661000,146157000,259313,285450,293314,118894,130940,134483,140419,154510,158832,1569040,1726500,1773270,777250,862969,882658,791791,863534,890615,8571760,9119070,9398270,5362370,5701400,5893910,3209380,3417670,3504360,145181000,146716000,146721000,82947000,84024500,84182400,62234300,62691100,62538600,40379600,40853800,41214900,24161000,24270900,24506300,16218600,16582900,16708600
70,Europe - Western,UNITED KINGDOM,DUNGENESS,4,50.913889,0.963889,315492000,325081000,338729000,230745000,237848000,248130000,84747300,87232200,90599000,260979,263792,277061,176516,178224,187177,84463.4,85567.8,89884,2710510,2740520,2882280,2317660,2343990,2465130,392859,396521,417149,19287000,19466500,20478800,17386800,17539200,18447500,1900200,1927280,2031320,150710000,156436000,163164000,119588000,124052000,129401000,31121600,32383400,33762800,64978100,66581200,70105300,55170900,56520700,59512800,9807170,10060600,10592500
71,America - Northern,UNITED STATES OF AMERICA,ELK RIVER,1,45.295172,-93.5567,87169500,94675800,104502000,69923600,76259100,84223200,17245900,18416700,20278900,463054,507076,560687,413403,452705,500568,49650.5,54370.7,60119.1,2807990,3083660,3410140,2595810,2851230,3153510,212182,232433,256632,3640890,3996710,4415960,3020520,3315810,3665610,620373,680902,750355,21390900,23075200,25467500,16775000,18215600,20118800,4615870,4859640,5348700,5741960,6251040,6894470,4093510,4469000,4934140,1648440,1782050,1960330
72,America - Latin,ARGENTINA,EMBALSE,1,-32.232154,-64.443385,54418200,62146200,68841800,37916100,43061400,47538400,16502200,19084700,21303400,66325,73475.4,80584,56229.8,62281.9,68298.5,10095.2,11193.5,12285.5,272790,306417,336725,169308,188897,207499,103482,117520,129226,2273000,2535880,2792150,1946370,2167060,2386900,326631,368820,405247,17904100,20248800,22300200,12488500,14149400,15572200,5415600,6099420,6728060,3562500,3964010,4358870,2797660,3117190,3429710,764845,846820,929162
73,Europe - Western,GERMANY,EMSLAND (KKE),1,52.474231,7.317858,366541000,376059000,387036000,254828000,261964000,270411000,111713000,114095000,116624000,435864,470606,471029,272039,293811,293693,163825,176795,177336,3243470,3467830,3514340,2157950,2303910,2332170,1085520,1163920,1182170,21197000,22411100,22745200,17512200,18474600,18724300,3684720,3936510,4020980,171263000,176234000,180746000,129406000,133186000,136901000,41856800,43047600,43844700,60937900,63812600,64914400,48147600,50441400,51362400,12790300,13371200,13552000
74,America - Northern,UNITED STATES OF AMERICA,ENRICO FERMI,3,41.9633,-83.2586,175191000,189505000,209148000,143351000,155015000,171161000,31839100,34490500,37987000,323072,337375,373160,294840,307889,340574,28232.1,29486,32586,4831060,5112790,5652930,4647700,4920760,5440870,183363,192025,212058,9349850,9849950,10881900,8319050,8764580,9685330,1030810,1085360,1196540,66255400,70626200,77931900,54109400,57946400,63969800,12145900,12679800,13962100,23105800,24212500,26718500,19104300,20026300,22105600,4001480,4186200,4612880
75,Asia - Far East,CHINA,FANGCHENGGANG,2,21.615298,108.347253,562135000,624653000,674161000,228102000,259297000,278514000,334033000,365356000,395647000,266698,303649,324411,157317,179113,191360,109381,124536,133051,1531080,1725150,1859300,562499,634356,681959,968580,1090790,1177340,8327870,9231350,9917050,3400910,3768320,4041980,4926960,5463030,5875070,148582000,177822000,192765000,60887800,74382100,80087900,87694600,103440000,112677000,53472600,62398900,68074600,18961200,22506300,24405900,34511400,39892600,43668700
76,America - Northern,UNITED STATES OF AMERICA,FARLEY,2,31.2228,-85.1125,115652000,131293000,144314000,89744900,102354000,112767000,25907000,28938500,31547100,76433.7,85397.3,94052.4,55593.6,61330.3,67559.2,20840.2,24067,26493.3,325135,371854,409308,190646,213432,234995,134488,158422,174313,1478650,1791520,1971000,1039000,1264020,1390830,439650,527495,580166,31355300,37363600,41219900,24595700,29434900,32482300,6759570,7928680,8737650,6582380,7989280,8810470,5022170,6100860,6731080,1560220,1888410,2079390
77,Europe - Western,FRANCE,FESSENHEIM,2,47.9064,7.56528,396771000,406319000,419486000,276816000,284034000,294494000,119954000,122285000,124992000,841308,893563,927232,550871,585125,607917,290437,308438,319315,3784790,4019470,4186240,2315210,2457970,2568460,1469580,1561510,1617780,13566100,14412200,14941600,8525910,9056660,9406950,5040140,5355520,5534660,180462000,186150000,192348000,131338000,135450000,140079000,49124200,50699900,52268600,46348600,48748700,50140400,30955600,32499800,33468800,15393000,16248900,16671600
78,America - Northern,UNITED STATES OF AMERICA,FITZPATRICK,1,43.5239,-76.3983,144043000,154200000,170190000,120219000,128723000,142131000,23823400,25477000,28058800,93160.9,94878.4,104261,52917.1,53892.7,59222,40243.9,40985.8,45038.8,808132,827302,908344,630324,644616,707802,177808,182686,200542,2975220,3062990,3362120,2246130,2310780,2537720,729092,752203,824405,87677200,92126400,101703000,77040500,81051100,89508500,10636800,11075300,12194700,16714000,17971400,19800900,13378900,14487300,15972800,3335160,3484050,3828060
79,Europe - Western,FRANCE,FLAMANVILLE,3,49.5358,-1.88139,301048000,310276000,324943000,224220000,231250000,242321000,76827100,79025800,82621900,146580,153567,162804,108622,113812,120692,37958,39755.4,42112,440331,459970,482283,274148,285590,298061,166183,174379,184222,3027120,3158070,3333580,2163940,2249730,2372130,863183,908347,961453,111609000,115331000,121909000,89380600,92343900,97529400,22228700,22987500,24379500,35590100,36398300,38346700,28340800,28910100,30440600,7249260,7488160,7906070
80,Europe - Western,SWEDEN,FORSMARK,3,60.402788,18.173758,142411000,141956000,141386000,90405500,90127200,89941000,52005300,51829200,51445400,21071.4,21768.1,22774.8,5470.6,5813.8,6072.26,15600.8,15954.3,16702.6,306450,325603,341618,179776,195008,204672,126674,130595,136946,2454300,2643440,2774370,1970840,2134760,2240760,483465,508681,533610,19744300,19896300,20473400,13163300,13303900,13680900,6581060,6592440,6792570,4825700,5037410,5274010,3221180,3389390,3551410,1604520,1648020,1722600
81,America - Northern,UNITED STATES OF AMERICA,FORT CALHOUN,1,41.5208,-96.0767,90267400,99427900,109717000,70690500,78176700,86319400,19576900,21251200,23397300,262057,276199,305507,245277,258502,285931,16780,17696.2,19576.4,810271,853916,944487,696108,733879,811794,114163,120037,132692,1603280,1686850,1862470,1218120,1284740,1419430,385160,402111,443042,21039900,22291200,24591500,15546800,16475400,18189500,5493070,5815810,6401970,4710600,4966070,5479430,3347220,3530850,3899390,1363380,1435220,1580040
82,America - Northern,UNITED STATES OF AMERICA,FORT ST. VRAIN,1,40.244444,-104.874167,42240900,50775200,56045600,33078800,40486000,44716600,9162110,10289200,11329000,250388,345676,381004,234161,323260,356310,16227,22416.2,24693.5,1873960,2611200,2885610,1816730,2532010,2798260,57225.2,79188,87342.4,2420540,3337760,3688010,2278990,3144340,3474600,141553,193428,213413,6447510,8282070,9138860,5301930,6913410,7634000,1145580,1368660,1504860,3179820,4327170,4777480,2869060,3920920,4330460,310754,406250,447020
83,Asia - Far East,JAPAN,FUGEN ATR,1,35.754444,136.016389,202199000,213288000,217826000,148155000,156236000,159105000,54043600,57051900,58721200,253521,263673,264365,128026,133267,133634,125495,130406,130731,2448050,2521900,2528250,1641940,1693800,1698360,806109,828095,829889,28557200,29345500,29416400,25219600,25922200,25986400,3337580,3423320,3430040,109082000,112376000,112654000,89569100,92486000,92720400,19513400,19890200,19933900,50392100,51649200,51765200,40989300,42054300,42152400,9402780,9594960,9612840
84,Asia - Far East,JAPAN,FUKUSHIMA-DAIICHI,6,37.42164,141.034658,146853000,150507000,151824000,113077000,115828000,116694000,33776100,34678800,35130400,147202,170201,170590,39601.3,59862.8,59979.1,107601,110338,110611,1680110,1732640,1736880,743190,777659,779563,936924,954983,957321,7367590,7621350,7639530,3918200,4074260,4083980,3449390,3547090,3555550,87236500,90286400,90496600,72140500,74832200,75010400,15096100,15454200,15486200,50653100,52755200,52880500,42048000,43917400,44022500,8605120,8837840,8858010
85,Asia - Far East,JAPAN,FUKUSHIMA-DAINI,4,37.316229,141.026181,146390000,149997000,151284000,112880000,115614000,116466000,33509300,34383600,34817500,193878,212499,213002,54378.4,69877.4,70026.9,139500,142622,142975,1552580,1602190,1606050,649771,681190,682817,902807,920998,923234,7654680,7922000,7940820,4076980,4240170,4250260,3577700,3681830,3690560,87819200,90883500,91095400,72732400,75436600,75616400,15086700,15446900,15479000,51053600,53173900,53300200,42426000,44308800,44414800,8627560,8865130,8885400
86,Asia - Far East,CHINA,FUQING,3,25.448056,119.450556,604359000,689401000,739602000,341717000,391285000,419317000,262643000,298116000,320285000,811965,913782,976424,485753,546664,584139,326212,367118,392284,5759170,6548340,6996730,4640920,5279870,5641430,1118250,1268470,1355300,15098800,17222300,18401800,11122500,12664800,13532900,3976370,4557460,4868970,144265000,167752000,179646000,87617700,102062000,109415000,56647100,65689900,70231600,48361000,55773700,59924100,35306000,40583000,43655400,13054900,15190600,16268700
87,Europe - Western,ITALY,GARIGLIANO,1,41.258315,13.834781,293442000,303382000,314310000,182843000,189450000,197280000,110599000,113932000,117030000,359926,360436,378879,211800,212064,222915,148126,148372,155964,4483060,4544400,4779810,3819630,3871770,4072450,663432,672627,707364,11283600,11346800,11931300,9253370,9303560,9783030,2030200,2043190,2148260,67191600,66969600,69817300,45085500,45241500,47382500,22106100,21728100,22434800,18611500,18675400,19635200,14163400,14212200,14943300,4448140,4463210,4691850
88,Asia - Far East,JAPAN,GENKAI,4,33.5167,129.833,424437000,458756000,480567000,287080000,309687000,323305000,137357000,149069000,157261000,260892,262461,262925,80127.3,80586,80727.6,180765,181875,182197,4171050,4282960,4293390,3254030,3350570,3358890,917023,932395,934502,9792530,9940390,9964370,7384050,7517440,7536310,2408480,2422950,2428060,88985300,93150400,95374200,71565600,75655500,77542000,17419700,17494900,17832100,31192800,30490300,31083400,23812200,23302400,23808400,7380630,7187960,7275030
89,America - Northern,CANADA,GENTILLY,2,46.39461,-72.356225,104236000,109876000,121269000,89061400,94001500,103790000,15174700,15874900,17478500,177293,179677,197902,143429,145303,160040,33864.1,34374.1,37861.8,555862,598151,659087,417742,447916,493529,138120,150235,165558,5093060,5382770,5950170,4621050,4874800,5390560,472017,507969,559614,29836200,30982400,34152000,24377000,25295700,27896900,5459160,5686650,6255130,8389970,8830950,9751190,6997450,7362820,8134870,1392530,1468130,1616320
90,Europe - Western,SWITZERLAND,GOESGEN,1,47.365781,7.967914,403982000,413848000,427255000,279688000,287079000,297639000,124294000,126769000,129616000,839058,895449,944381,560405,598303,631135,278653,297146,313246,5030140,5365750,5646100,3502980,3737450,3938740,1527170,1628300,1707360,11801400,12585500,13152800,7403140,7897340,8279080,4398290,4688120,4873690,176068000,181541000,187574000,128262000,132198000,136675000,47806500,49343600,50898800,50139600,52465900,54251500,34559500,36095600,37373800,15580000,16370200,16877700
91,Europe - Western,FRANCE,GOLFECH,2,44.10618,0.844447,338318000,354127000,376412000,243592000,254364000,269813000,94725500,99763500,106599000,170818,173125,183498,99329.7,100173,106176,71488.7,72951.8,77322.2,1187470,1269710,1345960,725371,790865,838415,462098,478843,507547,4562180,4821590,5114570,2809620,3000210,3181910,1752560,1821380,1932660,72789300,75618000,81690400,54357900,56545000,61211900,18431400,19073000,20478500,13983600,14628900,15747200,8732100,9196890,9925220,5251500,5431970,5821950
92,Europe - Western,GERMANY,GRAFENRHEINFELD (KKG),1,49.984086,10.184669,413743000,422833000,433484000,281918000,288947000,297938000,131824000,133886000,135546000,502966,517406,515239,321418,330861,329485,181548,186545,185754,2432690,2521680,2511040,1242820,1295350,1289950,1189870,1226330,1221090,15591400,16274800,16213000,9789510,10252600,10214500,5801920,6022200,5998520,189141000,194730000,199534000,133706000,137702000,141353000,55435300,57028700,58181500,65037000,67465800,67586100,45194500,46908700,46966800,19842600,20557100,20619300
93,America - Northern,UNITED STATES OF AMERICA,GRAND GULF,1,32.0075,-91.0481,108263000,123795000,136637000,86146400,98963300,109281000,22116400,24832000,27356700,22064.2,23573.8,25968,2976.07,3226.22,3567.53,19088.1,20347.6,22400.5,247996,264549,291556,146236,156274,172308,101760,108275,119247,1317180,1409270,1554290,817200,876495,967403,499979,532771,586887,27857200,32088900,35406400,21362500,24768800,27343800,6494730,7320020,8062540,7039640,7471240,8243410,5138290,5430570,5994960,1901340,2040680,2248450
94,Europe - Western,FRANCE,GRAVELINES,6,51.0161,2.14417,330200000,340048000,353498000,239645000,246902000,257082000,90554900,93145300,96415700,440305,439744,463778,359784,358699,378032,80521.2,81045.2,85746.4,2321100,2333140,2461330,1769220,1777550,1874490,551878,555587,586847,12132800,12327200,12979200,9843090,9999560,10526700,2289690,2327630,2452540,163528000,169927000,176428000,127283000,132169000,137313000,36244900,37757200,39115500,66836900,68743300,72273700,56745800,58321800,61315300,10091100,10421400,10958300
95,Europe - Western,GERMANY,GREIFSWALD,5,54.140586,13.664422,384699000,390631000,397172000,261681000,266582000,272543000,123018000,124049000,124629000,153361,145030,144483,89390.5,84582.6,84275.7,63970,60447.8,60207.1,762483,721895,718667,293410,277857,276716,469073,444038,441951,3179570,3072030,3062630,1303320,1263180,1260950,1876250,1808850,1801680,113248000,115373000,115757000,76570900,78091000,78397700,36677000,37282300,37359000,24628100,24806500,24850000,16003200,16194900,16238400,8624950,8611540,8611620
96,Europe - Western,GERMANY,GROHNDE (KWG),1,52.035,9.413333,389126000,397887000,407990000,266520000,273328000,281477000,122607000,124559000,126513000,453821,482041,480240,272674,289635,288553,181147,192406,191688,4479210,4728120,4709470,3567820,3767780,3752930,911385,960344,956537,13882900,14499700,14513900,9910510,10392400,10419600,3972360,4107280,4094310,151554000,156431000,159244000,105716000,109177000,111283000,45838500,47254000,47961700,64161100,66262600,66621000,47578200,49251100,49537000,16582900,17011500,17084000
97,Asia - Far East,CHINA,GUANGDONG,2,22.597144,114.543139,615931000,702252000,758819000,314938000,362457000,390888000,300993000,339795000,367932000,2248060,2843290,3108290,1391260,1763690,1929530,856798,1079600,1178770,20241900,25613400,27614300,18032500,22833000,24607000,2209400,2780430,3007250,35704200,46355400,49866500,27890700,35993200,38741800,7813480,10362200,11124700,165562000,199658000,213697000,96640200,117643000,126037000,68921300,82014600,87659800,64757000,85134500,91288100,44852500,58674900,62971100,19904500,26459600,28317000
98,Europe - Western,GERMANY,GUNDREMMINGEN,3,48.5167,10.4,417475000,425981000,436669000,282831000,289442000,298381000,134643000,136539000,138288000,403660,428225,426522,166521,176651,175949,237139,251574,250573,3167890,3385220,3374060,1827960,1952770,1946050,1339930,1432450,1428010,15303600,16399300,16418100,10161800,10899800,10908700,5141830,5499450,5509350,194306000,199901000,205112000,138257000,142268000,146227000,56049300,57633500,58884800,46367800,48856000,49522300,28546600,30140400,30555600,17821200,18715600,18966700
99,America - Northern,UNITED STATES OF AMERICA,H.B. ROBINSON,1,34.4053,-80.1586,164983000,181360000,200175000,138210000,152095000,167939000,26773100,29264300,32235900,68794.1,79909,88058,39215.9,45574.2,50219.8,29578.1,34334.8,37838.1,610924,711013,783466,398245,463944,511197,212679,247069,272269,3576560,4266590,4707490,2587790,3093830,3414360,988761,1172760,1293130,35070600,41259200,45512900,26104500,30846700,34038500,8966060,10412500,11474400,11237100,13457700,14847800,8064700,9663430,10663900,3172430,3794310,4183840
100,America - Northern,UNITED STATES OF AMERICA,HADDAM NECK,1,41.481944,-72.499167,124994000,133346000,147169000,104581000,111496000,123104000,20413000,21849700,24065400,513131,516059,569379,384435,386628,426576,128696,129430,142803,3444150,3495280,3853750,3008540,3052860,3365840,435608,442414,487903,18951200,19600200,21659900,17793800,18414700,20353600,1157410,1185510,1306300,67296000,70392100,77698600,58977400,61734800,68167600,8318650,8657240,9531030,39343800,40924800,45200500,36242100,37724300,41676300,3101660,3200570,3524160
101,Asia - Far East,CHINA,HAIYANG,2,36.708333,121.383333,742392000,820894000,873598000,431762000,476751000,507009000,310629000,344143000,366589000,572371,620118,662216,323839,350854,374673,248531,269264,287543,2904770,3156540,3371740,824043,896963,958090,2080730,2259570,2413650,14852000,16200500,17306000,8435350,9207890,9836540,6416650,6992600,7469420,304156000,334594000,356342000,187617000,207085000,220447000,116539000,127508000,135896000,36147200,39052100,41715800,20213900,21771800,23258100,15933300,17280300,18457700
102,America - Northern,UNITED STATES OF AMERICA,HALLAM,1,40.55925,-96.784711,92468000,102550000,113158000,72588300,80857100,89274600,19879700,21693200,23883500,143338,154878,171172,126709,136923,151340,16629.8,17954.7,19832.2,346556,373512,412470,255131,275554,304456,91424.7,97957.4,108014,1428070,1512960,1670360,1097350,1162620,1284600,330720,350336,385760,19872000,21231700,23430400,14856500,15886900,17546000,5015460,5344820,5884350,5367940,5673310,6262810,4102310,4339070,4793870,1265630,1334240,1468940
103,Asia - Far East,JAPAN,HAMAOKA,5,34.620877,138.144207,178753000,187258000,190251000,137977000,144962000,147154000,40775500,42295800,43097500,576017,590205,591440,557895,571812,573006,18122.2,18393.7,18433.6,2843390,2948970,2954850,2197410,2283560,2288080,645981,665418,666767,15693200,16352400,16386400,13525700,14104000,14134000,2167510,2248410,2252460,99327600,102509000,102745000,81998800,84808900,85009800,17328800,17699700,17735700,77438900,80416400,80605500,68161600,70828900,70998400,9277350,9587490,9607070
104,Europe - Western,UNITED KINGDOM,HARTLEPOOL,2,54.634824,-1.18081,242766000,250759000,259926000,180070000,186061000,193025000,62695200,64697600,66901400,974294,999111,1049370,927877,952068,999999,46417,47043.2,49370.4,2778400,2854460,2997850,2490190,2559940,2688720,288214,294528,309131,10587000,11037600,11593300,9183170,9579200,10062300,1403790,1458400,1531020,88535800,91743800,96904000,73360200,75956800,80131700,15175600,15787000,16772300,30164900,31441100,33026200,25659800,26763500,28115800,4505080,4677630,4910470
105,America - Northern,UNITED STATES OF AMERICA,HATCH,2,31.9342,-82.3444,122801000,136465000,149999000,96645100,107741000,118697000,26156000,28724300,31301800,35117.3,48631.3,53378.1,19138.9,26518.7,29107.3,15978.4,22112.6,24270.9,239685,327411,359960,141360,192807,212071,98325.5,134605,147889,1116100,1503280,1654620,764850,1029700,1133650,351253,473578,520973,32458300,39365400,43420100,25052300,30543600,33697600,7406000,8821830,9722530,8795240,11188800,12342100,7002370,8937580,9862400,1792870,2251220,2479720
106,Europe - Western,GERMANY,HDR GROSSWELZHEIM,1,50.055145,8.984869,406062000,415443000,427213000,280283000,287506000,297130000,125779000,127937000,130083000,1836500,1931090,1923870,1641650,1724730,1718330,194843,206359,205545,5974460,6299760,6276370,4247770,4476380,4460070,1726690,1823380,1816300,17241000,18156000,18092200,10577300,11159800,11120000,6663660,6996210,6972260,186182000,191722000,196903000,133797000,137807000,141737000,52385000,53915600,55166600,70126600,73183300,73708200,50454400,52696200,53068800,19672200,20487100,20639400
107,Europe - Western,UNITED KINGDOM,HEYSHAM,4,54.029927,-2.914384,233597000,241907000,251268000,175141000,181427000,188585000,58455300,60480300,62682600,616374,640438,672572,514968,534234,561084,101406,106203,111488,4532900,4747890,4988390,4083380,4278430,4495500,449521,469465,492884,14900400,15561800,16348300,13048500,13632100,14322100,1851880,1929680,2026210,79849800,82596900,87409600,66630500,68884100,72764200,13219400,13712700,14645300,37255400,38828700,41074500,31181700,32516100,34388300,6073750,6312560,6686210
